59641	8525	8	0	0	0	-1	39182	53086453123	10
18957	236	376153	404669	139	0	1	0	2240	35350	53085416883	32
8441	259	701698	74549	207	0	1	0	10926	8311	53085853344	10
62288	45	111285	51589	101	0	1	0	-1	65176	53085902747	10
1120	167	2568484	160721	4	0	0	0	-1	4517	53086535648	10
33487	77	45087	1478	121	0	1	0	1884	44270	53086415959	9
59877	-1	862660	7972	144	1	0	0	-1	48665	53086468401	10
33888	46	713238	57904	151	0	0	0	1126	30902	53085225574	6
10176	2	50335	17874	11	0	1	0	-1	19050	53086345233	13
33661	39	577357	18595	44	0	1	0	-1	32929	53086552509	6
36310	130	159405	11202	69	0	1	0	-1	66562	53085600574	9
5773	-1	277873	970	99	1	1	0	-1	8617	53086262367	10
31863	59	26198	18607	5	0	1	0	935	921	53086515179	8
11644	171	49182	1529	85	0	1	0	-1	44650	53086459564	10
1037	180	2657914	98018	50	0	0	0	-1	30395	53085850715	7
48245	24	2719617	237338	14	0	0	0	8852	18451	53084387004	10
17697	97	2719618	129174	44	0	0	0	-1	887	53086547632	10
37026	51	1409144	24580	78	0	0	0	-1	9539	53084535009	9
18988	59	12009	1123	80	0	0	0	-1	8124	53085184266	9
8929	18	1414387	4492	35	0	0	0	-1	44823	53086347243	9
15815	-1	1305353	3308	22	1	0	0	-1	5124	53086233577	6
54	25	456001	187984	39	0	0	0	-1	443	53084811993	9
1855	-1	288475	10695	133	1	1	0	-1	14245	53086439123	7
4746	-1	674439	26101	113	1	1	0	-1	32	53086542152	7
1041	-1	1324448	419	24	1	0	0	16071	33427	53084003339	8
21113	324	59641	8525	8	0	0	0	-1	5063	53086453123	10
3901	262	2719619	550884	20	0	0	0	514	11522	53085167665	10
2613	228	1560919	233980	137	0	0	0	7878	50524	53085498530	9
35486	39	2719620	4039	7	0	0	0	-1	24171	53085857913	7
10641	26	1552227	505691	223	0	0	0	-1	22124	53084114603	10
61429	143	1166889	145260	-1	0	0	0	-1	36272	53086520358	9
972	254	2719621	70723	63	0	0	0	2219	33707	53084867553	10
269	284	746569	126350	267	0	1	0	-1	20132	53085338226	9
632	42	28992	23643	42	0	0	0	815	31182	53086266457	3
56684	140	2719622	204259	221	0	1	0	2285	35626	53086268541	10
31954	220	16566	12463	68	0	1	0	-1	45874	53086457357	6
46242	216	413134	89694	7	0	0	0	-1	11292	53086538853	9
2523	-1	2719623	25318	-1	1	0	0	-1	37654	53069233442	10
35859	42	2719624	550885	146	0	0	0	33	13584	53086525424	7
33226	305	2719625	270737	79	0	0	0	-1	23731	53086019591	10
538	16	2562255	237091	109	0	0	0	4208	32354	53086543471	10
23451	70	62236	6398	22	0	1	0	795	1972	53085298330	42
31153	1	2719626	550886	131	0	1	0	-1	44681	53086549872	9
3137	47	2650907	169377	0	0	0	0	-1	1953	53086549685	10
46334	92	1486	3221	4	0	0	0	294	11587	53085931097	10
31781	-1	488608	47574	102	1	1	0	-1	58246	53085222858	4
27655	30	2625833	60400	181	0	1	0	296	40116	53086326450	10
34793	21	2546941	487610	44	0	0	0	-1	6672	53086523534	10
18994	8	529001	10881	210	0	0	0	-1	1320	53086507878	7
35073	14	2400	15315	42	0	0	0	-1	1078	53085466738	10
4771	133	30406	31117	135	0	0	0	3326	9363	53086501977	10
15072	68	38215	22499	96	0	1	0	-1	6209	53086456206	10
10394	8	2719627	38702	68	0	0	0	-1	34263	53084646451	10
39760	-1	1023289	1028	14	1	0	0	-1	5261	53086381447	14
6527	68	2567110	74832	68	0	0	0	2677	25833	53086429109	9
32272	71	1225999	5584	178	3	0	0	33	2484	53084192013	4
57775	210	123995	15145	192	0	0	0	-1	44797	53086533312	9
62952	109	53419	35896	249	0	0	0	-1	65771	53085938553	9
44639	116	309657	5312	35	0	0	0	-1	4793	53086249585	10
61331	178	2279928	8138	113	0	0	0	25	52353	53086200896	12
515	-1	570677	27743	124	1	0	0	229	6539	53086268443	9
6424	76	372335	105848	191	0	1	0	-1	37141	53086548332	10
1597	47	704594	214958	35	0	1	0	-1	52598	53086424452	20
43611	-1	80300	17189	96	1	1	0	-1	14888	53082851571	36
32177	150	461259	261637	46	0	1	0	-1	32011	53084607069	9
